ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive,Madhi,Mudhari,Amar,Madhi_from_Vocalized,Mudhari_from_Vocalized,Amar_from_Vocalized
2197,لقط,لَقَطَ,لقط,لقط,1,0,0,0,0,لقط,يلقط,القط,لَقَطَ,يلقط,القط
2198,كفل,كَفَلَ,كفل,كفل,1,1,1,1,0,كفل,يكفل,اكفل,كَفَلَ,يكفل,اكفل
2199,دلق,دَلَقَ,دلق,دلق,1,0,0,0,0,دلق,يدلق,ادلق,دَلَقَ,يدلق,ادلق
2200,خمل,خَمَلَ,خمل,خمل,1,1,1,1,0,خمل,يخمل,اخمل,خَمَلَ,يخمل,اخمل
2201,نشر,نَشَرَ,نشر,نشر,1,0,0,0,0,نشر,ينشر,انشر,نَشَرَ,ينشر,انشر
2202,نخب,نَخَبَ,نخب,نخب,1,0,0,0,0,نخب,ينخب,انخب,نَخَبَ,ينخب,انخب
2203,خذل,خَذَلَ,خذل,خذل,1,0,0,0,0,خذل,يخذل,اخذل,خَذَلَ,يخذل,اخذل
2204,جهر,جَهُرَ,جهر,جهر,1,1,1,0,0,جهر,يجهر,اجهر,جَهُرَ,يجهر,اجهر
2205,عتق,عَتُقَ,عتق,عتق,1,1,1,0,0,عتق,يعتق,اعتق,عَتُقَ,يعتق,اعتق
2206,ربك,رَبِكَ,ربك,ربك,1,1,1,1,0,ربك,يربك,اربك,رَبِكَ,يربك,اربك
2207,فشل,فَشَلَ,فشل,فشل,1,0,0,0,0,فشل,يفشل,افشل,فَشَلَ,يفشل,افشل
2208,غزر,غَزُرَ,غزر,غزر,1,1,1,0,0,غزر,يغزر,اغزر,غَزُرَ,يغزر,اغزر
2209,طبل,طَبَلَ,طبل,طبل,1,1,1,1,0,طبل,يطبل,اطبل,طَبَلَ,يطبل,اطبل
2210,دفق,دَفَقَ,دفق,دفق,1,1,1,1,0,دفق,يدفق,ادفق,دَفَقَ,يدفق,ادفق
